,City,Avg_Annual_Growth_Number_of_Taxpayers,Avg_Annual_Growth_Average_Assets_in_Euro,Avg_Annual_Growth_Average_Tax_in_Euro
0,AGDE,10.503056884635832,-0.11534864636809032,-0.006200538392457489
1,AIX EN PROVENCE,3.927482013412232,1.9187838892171556,2.5075090938881925
2,AIX-LES-BAINS,10.53799629304458,3.427504084081317,7.966225168018539
3,AJACCIO,6.020630706621045,-0.33200694556527344,-0.369919044710767
4,ALBI,0.07444168734491304,3.4892672932227726,8.893814904066746
5,AMIENS,1.844908667513458,0.24757417672102378,-0.16822958687822975
6,ANGERS,11.68970058881022,3.9320950864862,7.545802499153848
7,ANGLET,17.371690094802222,0.710814479815467,0.21899598463686556
8,ANNECY,9.356501369092358,0.9890709721322909,1.2143320560285253
9,ANTIBES,1.161547660935666,1.5694965845604474,3.307757968603679
10,ANTONY,8.900940921495573,1.2380740703416566,3.111049589441738
11,ARLES,6.009066142023435,1.8713391094920173,3.3568266300696457
12,ARRAS,1.9607843137254901,2.982831172042172,10.346464167062173
13,ASNIERES,9.672022243959523,0.6169464551015525,-2.60536262617948
14,AUBAGNE,0.9649122807017543,-3.403042638576847,1.1035283432417238
15,AULNAY SOUS BOIS,1.0173880873103958,1.9485759057332785,5.801973927104334
16,AVIGNON,2.0947576222855893,-0.47975077537449656,1.4121341203853748
17,BASTIA,1.6763915902565527,1.4416919241927981,3.0646596957116636
18,BAYONNE,8.176448874123293,2.202902529602426,3.42856230955934
19,BEAUNE,-1.9230769230769231,2.9727791101225196,4.383389261744966
20,BEAUVAIS,1.092896174863388,1.9403074977609218,-3.0266001716373485
21,BESANCON,3.113141140056227,2.23524875339826,4.825741525359583
22,BEZIERS,3.965601433955864,-0.3358157161106336,2.601584773634085
23,BIARRITZ,15.932715567131092,0.9725491319434069,-0.8483585624440927
24,BOIS-COLOMBES,12.0771950200705,1.4082717896244918,2.9835056856635127
25,BORDEAUX,8.323304913441312,1.9175547921522649,2.869722157872086
26,BOULOGNE BILLANCOURT,5.9815948870679385,1.3203377798307872,1.7400183627774524
27,BOURG LA REINE,5.674157190191722,0.182359262892807,-1.6071147806427446
28,BREST,7.244892294026204,1.5586265324970954,4.169644062760737
29,BRIVE,4.5295149035651665,0.5458681190554965,-1.844914911496166
30,BRON,3.086670274170274,0.3171371254474494,0.09353565466056302
31,BRUNOY,4.610573042776433,0.4850643379631296,3.259293456957384
32,CACHAN,6.437908496732027,2.5161744589198056,4.900166881408471
33,CAEN,6.220291981792947,0.9544684947738847,1.704012333706742
34,CAGNES SUR MER,1.724899555781909,4.299221170048705,3.4198823623253887
35,CALUIRE ET CUIRE,8.794012411479379,3.066619070521611,3.711208089917772
36,CANNES,4.166526268021092,3.2888311395551573,0.4939615380423512
37,CARPENTRAS,11.320754716981133,-3.605542145970934,-6.237148732008225
38,CASTELNAU LE LEZ,3.0675156660602383,4.544258455608262,12.275429567387196
39,CHAMBERY,4.115514115514116,1.1243340957251768,2.9159966861720554
40,CHAMPIGNY SUR MARNE,6.629117596859532,0.8072360173965615,0.38422443953291235
41,CHARENTON LE PONT,7.181054380853577,0.7601890039036457,1.2444203987811846
42,CHARTRES,3.15446827074734,0.9629703472602512,1.9018056701660884
43,CHATENAY MALABRY,7.691190171648743,-0.335744340016395,-2.876410463613542
44,CHATILLON,8.036931766780327,0.9761133688616704,1.5713279421172033
45,CHATOU,5.6984527987662785,0.5649813361389098,-0.21381165705004412
46,CHAVILLE,10.08242907960422,1.882299495631199,3.580669967767458
47,CLAMART,9.964349342796147,1.2151864592649686,2.4709243661746343
48,CLERMONT-FERRAND,5.951343888639382,2.8167195175924857,7.532097394802174
49,CLICHY,9.273142112125164,2.4857859137106018,6.184188538932778
50,COLMAR,3.4300557829969596,-2.1763661028952863,-1.0831099271034361
51,COLOMBES,10.14739824101178,1.6636641024739465,3.2211858081144524
52,COMPIEGNE,4.208428535161208,0.7318585936925296,8.0039189064261
53,COURBEVOIE,9.090486647572229,0.762988504571072,1.0729840657721985
54,CRETEIL,1.9491163326779766,1.0487768558893587,1.8121605913367211
55,CROIX,9.42667125329664,2.0145332708445163,3.247619367489443
56,DIJON,4.7835286096474645,-0.21997594787133323,-0.5822447627936587
57,DRAGUIGNAN,-1.4218645204560698,-1.8445651542827826,-3.220580882548413
58,DUNKERQUE,4.086492337211878,2.2638169696181327,5.381455476919239
59,EYSINES,9.615384615384617,-2.727371226731965,-5.638271906272883
60,FONTENAY AUX ROSES,8.418815722186508,0.6046826225960148,-0.260187464431644
61,FONTENAY SOUS BOIS,2.1912524175746806,1.881125149096306,1.8340023600482567
62,FREJUS,1.7375995101041026,0.1651317648751872,0.0247597898953759
63,GAP,7.7552856500224925,0.4303411697189012,-3.489888484315396
64,GIF SUR YVETTE,6.473922902494331,1.7228044575578494,2.687301519796085
65,GRADIGNAN,5.066340069401918,4.975104920948442,6.9421073373743925
66,GRASSE,-0.2602491892814474,3.446496336248574,16.957338243533435
67,GRENOBLE,-0.5444277251671177,1.6478970558730917,1.5807281175661998
68,GUJAN-MESTRAS,28.30188679245283,-2.1738466554954967,-7.126893469083686
69,HYERES,4.992780963817515,1.3576607797878555,2.760310382528711
70,ISSY LES MOULINEAUX,13.20091341427321,0.4508685882831871,1.269929046376711
71,L'HAY LES ROSES,4.573763644082884,-1.3280507318189094,-2.362493863921475
72,LA CELLE-SAINT-CLOUD,4.71882227979789,0.7040245615824542,1.3352013064422892
73,LA CIOTAT,8.364424057084607,1.211155005337669,2.008706287914613
74,LA GARENNE COLOMBES,10.750722436115694,1.952693277333078,5.467233877836795
75,LA MADELEINE,6.546342482148165,-0.4882485731145006,-0.59023028777442
76,LA ROCHELLE,11.546006485293104,1.412886261252592,1.5210408690945032
77,LA SEYNE SUR MER,3.1354731595539227,-0.5801837687549313,-3.145889641031925
78,LA TESTE DE BUCH,13.33420547706262,0.2145367662612613,1.0957224233102512
79,LAMBERSART,15.72677010879258,-0.013264480099802078,-0.26546516210026727
80,LAVAL,6.720452368970342,-1.1048921915329244,-3.8941571433124325
81,LE BOUSCAT,12.813983707386027,-0.2156614883873665,-0.3369935372188723
82,LE CANNET,-0.8176357684093268,2.331409059113549,5.853003759177649
83,LE CHESNAY-ROCQUENCOURT,11.926414730696601,3.1383024986404706,8.138117368516113
84,LE HAVRE,5.075897672985051,-0.5743244276337139,-2.1958455630932163
85,LE MANS,3.7450033860488112,1.492303533587939,3.1420024298246285
86,LE PERREUX SUR MARNE,5.0382605512663305,-0.0721086982589892,0.6616898330266766
87,LE PLESSIS ROBINSON,7.272157535376191,1.6030191623372059,4.841123047855985
88,LES LILAS,6.677765445800962,11.53117834581448,49.38419968291525
89,LES SABLES D'OLONNE,15.960581702980974,-0.23382646302795296,-0.9888641407932207
90,LEVALLOIS-PERRET,7.275932338826533,0.4511922289177077,-1.2096822586197642
91,LILLE,8.98125801729112,0.6733482652120717,0.5099794436034474
92,LIMOGES,4.452820087109867,0.45979902974532116,2.1149988196465945
93,LYON,8.087862500852902,1.6718190727080258,0.8601065337287315
94,MAISONS-ALFORT,7.3296320753947874,1.284380378202208,2.9214347455851755
95,MAISONS-LAFFITTE,9.366686599176871,1.5353188500041144,4.145042810070033
96,MALAKOFF,12.489167067886376,0.07179140764796797,1.7549290175115082
97,MANDELIEU LA NAPOULE,2.4567225749925274,2.5922280355043377,6.292828988297935
98,MARCQ EN BAROEUL,8.447163572329051,-0.3740169192849447,-0.9461350553386764
99,MARSEILLE,4.784395211330005,1.0179372258294652,1.2360844763748113
100,MEAUX,7.355292612727855,0.6638707050475419,1.9387812543937786
101,MENTON,1.407513963255992,4.480071376014639,12.985446190512386
102,MERIGNAC,6.88431501952373,0.9521158325215727,0.620436693709828
103,METZ,0.7712487918417263,2.136185596957513,3.6178387112653305
104,MEUDON,9.11147211714622,0.18529177623462725,-0.43681179040059886
105,MONACO,6.491625501308199,3.4179109895741795,6.295234370375136
106,MONTAUBAN,3.7662337662337664,2.947606988033527,5.882100248901248
107,MONTELIMAR,15.09433962264151,7.125634233296493,20.127388535031848
108,MONTGERON,6.896551724137931,5.538754168119595,11.760249976328
109,MONTMORENCY,5.2403762045329145,0.706953025334069,1.059933165860716
110,MONTPELLIER,3.098183694346045,1.593451183497874,4.211718587209958
111,MONTREUIL SOUS BOIS,15.5027388266651,-0.6888063906091194,0.9735207352275728
112,MONTROUGE,11.18096798346552,-0.6340068694379993,-1.8628848595728877
113,MULHOUSE,2.4250440917107583,1.1427489273593932,1.2712841107757826
114,NANCY,4.528708716688256,1.3125787472496133,5.0866810001890945
115,NANTERRE,5.805720137517373,0.9942586529131129,2.0519885081199427
116,NANTES,9.305383314974671,1.2920540977671826,2.9533183796384095
117,NARBONNE,9.047919293820932,1.5225225147878965,3.4552781167577677
118,NEUILLY SUR SEINE,3.064119622109764,0.03347003160358534,-2.2053698370541013
119,NICE,2.4889171015795473,1.2885175814056196,2.483364943619138
120,NIMES,4.363523312368075,3.0260473251338165,6.823224942356004
121,NIORT,2.5543265739344165,-2.0465493129469325,-9.787975195766432
122,NOGENT SUR MARNE,2.7699249169101225,0.9187800678147133,4.421694463236445
123,NOISY LE GRAND,2.787193973634652,0.8468203231976631,1.8302624413573056
124,OLIVET,7.8431372549019605,5.936656489225187,9.989777901682
125,ORLEANS,6.258614237337642,0.19024538910236743,-0.12916091517650038
126,ORVAULT,12.75952373026177,2.61936268422802,10.077394338665288
127,PALAISEAU,14.316010786599023,-4.889431039375342,-11.85777643250376
128,PARIS 10e,10.464867786767943,0.2601642720722909,0.2218445883352249
129,PARIS 11e,6.260322318456271,0.6345392779059046,1.2155198888278627
130,PARIS 12e,4.598130201117285,0.07619599999917263,-0.31418859951960326
131,PARIS 13e,6.6392592890032835,0.551169676819793,0.40178431465923947
132,PARIS 14e,4.0131683044326705,1.0139548393248359,0.8337133691138865
133,PARIS 15e,4.720536950048638,0.8079387084969504,0.8779729864751552
134,PARIS 16e,2.993700058549972,1.3561235611566682,1.3612875179595607
135,PARIS 17e,4.056410302668313,0.9389097785181596,0.4246689135984309
136,PARIS 18e,5.888319781778951,1.1588876617846828,1.4133712492532338
137,PARIS 19e,8.054565019046562,2.3458655321735153,4.88974022671968
138,PARIS 1er,4.449932033518659,0.9238484298939104,1.8172057336587304
139,PARIS 20e,8.498475019056622,1.9566184184480455,1.636242557920365
140,PARIS 2e,8.398859203249659,1.5924809897943686,1.6365345784005294
141,PARIS 3e,6.149412643749841,1.579671287511064,2.9086617606872793
142,PARIS 4e,4.505425364913535,0.835401323335037,0.8307325511878907
143,PARIS 5e,3.1445338711627397,1.6479271907569932,0.9937958409026143
144,PARIS 6e,2.8066191923434047,2.110102370957654,2.572124858011496
145,PARIS 7e,2.7080965226460534,1.9700223575261588,2.6085215984052246
146,PARIS 8e,3.619285916040701,0.9996252766195363,-1.1392687690734684
147,PARIS 9e,7.832558813786612,0.43650204827854955,-0.9636276617154121
148,PAU,5.553626037570992,3.752142989588366,6.514447148157142
149,PERPIGNAN,0.8003817989630565,1.680228849449614,2.9802255753942206
150,PESSAC,6.630054235403326,4.854402444799364,10.792138171700763
151,POITIERS,3.3858084389999283,0.8426711047298516,1.736448053973098
152,PUTEAUX,9.78277715048407,1.9017483217959075,3.978593891974594
153,RAMBOUILLET,2.9045683313976,1.1943293589088602,1.5242542044587353
154,REIMS,6.426615564814377,0.9227712475071854,2.310295589406912
155,RENNES,9.926517740912251,1.2318894668842917,1.8568389758406703
156,ROUEN,8.029252252179937,0.8566206270510066,-0.27714886906709807
157,RUEIL MALMAISON,7.795976437206054,1.520103221808071,1.820108205466469
158,SAINT CLOUD,4.77056152223057,0.6861677831526979,1.8635009539339282
159,SAINT DENIS,2.05596870108641,1.7801864851872466,1.1312685337234896
160,SAINT ETIENNE,-2.4353825558644835,2.5186390082361174,7.927616391872449
161,SAINT LAURENT DU VAR,0.08777550829695491,2.3362453725216246,4.462374361361774
162,SAINT MALO,17.20895151859619,0.022430750377916125,-1.116773934823686
163,SAINT MANDE,4.301285152092436,-0.2528234565486301,-2.2156888354911835
164,SAINT MAUR DES FOSSES,5.841128105470389,0.6145343195276446,0.028673384139661733
165,SAINT PAUL,6.229461306213253,0.6956227853757628,1.744177616607429
166,SAINT PIERRE,3.286547416982199,-1.490776323970347,-4.112544859299567
167,SAINT-GENIS-LAVAL,7.547463429816371,1.4603967950521175,1.2805106891391302
168,SAINT-GERMAIN-EN-LAYE,10.374086875869965,0.7503981582971059,1.5266294439913513
169,SAINT-MEDARD-EN-JALLES,3.9341377576671697,2.2354478051084725,4.505025506798962
170,SAINT-RAPHAEL,7.593526050957607,-0.07786592429493,-0.6339348644398116
171,SALON DE PROVENCE,6.772138680033417,3.637610287971917,4.464515295200585
172,SETE,7.283595586905409,1.4350353696148295,3.6021277849238036
173,SEVRES,9.83088007503652,1.5409866790509053,3.748096222033277
174,SIX-FOURS-LES-PLAGES,8.463424483673705,0.6034987676847016,1.4675592573710559
175,ST GRATIEN,15.384615384615385,-3.597089783075502,-10.79429735234216
176,ST NAZAIRE,14.516129032258066,5.701220556289331,5.739766750514521
177,STE FOY LES LYON,7.234262125902993,1.4797131586164614,4.130233775776016
178,STRASBOURG,6.1218533017927355,1.559241802547553,1.6490698630738692
179,SUCY EN BRIE,6.8686868686868685,2.434327785046006,5.2059806462749725
180,SURESNES,9.753351152885047,1.2066563755087905,3.1278942646435475
181,TALENCE,8.857779603261532,2.371193185913197,4.955141667701066
182,TAMPON,0.842293906810036,4.812294988695617,11.72463155523603
183,TASSIN-LA-DEMI-LUNE,9.18229918229918,1.035036891390604,2.1056795852080263
184,THIONVILLE,2.2119815668202762,5.967473766885727,16.80872212286529
185,THONON-LES-BAINS,5.075936671681353,0.25285785184872217,0.7182105105544044
186,TOULON,1.9031027376071912,1.204787430738811,0.08633690635372693
187,TOULOUSE,5.723846898465289,2.29209490735628,3.464780501361884
188,TOURNEFEUILLE,5.892209115326648,1.5690694862284682,4.002513891495334
189,TOURS,9.760439836406688,0.455599052386008,1.115578283383948
190,TROYES,3.8461538461538463,-0.598541515858334,0.8054522924411399
191,VALENCE,7.746705239472838,0.7281332967409299,1.664844180061296
192,VALLAURIS,-1.3671581210807557,2.6100196944697434,6.133968083087399
193,VANNES,17.50917094644167,0.17769024726275853,1.6775496218180448
194,VANVES,4.606116183297392,1.1751909952747042,3.945338874938774
195,VERSAILLES,8.075128216354004,1.033996217365608,0.24032250523826063
196,VERTOU,14.535351064201587,0.35643356608601723,-1.76001939773547
197,VILLEMOMBLE,-1.8181818181818181,1.539368319746825,0.22380049956543502
198,VILLENEUVE D'ASCQ,9.761756310255464,-1.1368238135617073,-6.114799306513774
199,VILLEURBANNE,7.497103363945752,4.709458722992449,8.738476077798902
200,VINCENNES,6.8025665564068385,0.6770572309496184,1.030045486163237
201,VITRY SUR SEINE,-1.7363863784507512,1.3941862759727153,4.225983036210687
202,WASQUEHAL,5.859916254282452,-1.7608968943651415,-5.150255857999951
